timestamp,bid_volume,ask_volume,total_volume
2024-05-01 00:00:00,152.779,220.042,372.821
2024-05-01 00:01:00,61.095,111.405,172.5
2024-05-01 00:02:00,118.001,107.54,225.541
2024-05-01 00:03:00,54.584,39.01,93.594
2024-05-01 00:04:00,57.618,57.127,114.745
2024-05-01 00:05:00,96.727,77.815,174.542
2024-05-01 00:06:00,55.853,48.133,103.986
2024-05-01 00:07:00,59.245,56.095,115.34
2024-05-01 00:08:00,35.359,64.995,100.35400000000001
2024-05-01 00:09:00,36.347,31.77,68.117
2024-05-01 00:10:00,42.741,61.563,104.304
2024-05-01 00:11:00,36.498,48.134,84.632
2024-05-01 00:12:00,146.524,45.159,191.683
2024-05-01 00:13:00,83.571,26.551,110.122
2024-05-01 00:14:00,204.909,42.82,247.72899999999998
2024-05-01 00:15:00,55.253,220.233,275.486
2024-05-01 00:16:00,43.514,20.18,63.694
2024-05-01 00:17:00,128.46,117.215,245.675
2024-05-01 00:18:00,68.946,34.405,103.351
2024-05-01 00:19:00,100.313,68.21300000000001,168.526
2024-05-01 00:20:00,277.77,198.762,476.532
2024-05-01 00:21:00,64.264,45.238,109.502
2024-05-01 00:22:00,133.236,46.842,180.07799999999997
2024-05-01 00:23:00,41.287,66.925,108.21199999999999
2024-05-01 00:24:00,24.565,50.168,74.733
2024-05-01 00:25:00,22.247,12.940999999999999,35.188
2024-05-01 00:26:00,20.605,56.414,77.019
2024-05-01 00:27:00,122.45100000000001,22.833000000000002,145.28400000000002
2024-05-01 00:28:00,73.0,28.343999999999998,101.344
2024-05-01 00:29:00,240.578,230.981,471.55899999999997
2024-05-01 00:30:00,65.075,55.172000000000004,120.24700000000001
2024-05-01 00:31:00,723.281,467.546,1190.827
2024-05-01 00:32:00,426.491,345.336,771.827
2024-05-01 00:33:00,131.738,237.096,368.834
2024-05-01 00:34:00,125.68,191.266,316.946
2024-05-01 00:35:00,97.941,107.615,205.55599999999998
2024-05-01 00:36:00,109.893,75.278,185.171
2024-05-01 00:37:00,46.619,91.928,138.547
2024-05-01 00:38:00,37.307,80.961,118.268
2024-05-01 00:39:00,57.774,45.117,102.89099999999999
2024-05-01 00:40:00,173.279,53.02,226.299
2024-05-01 00:41:00,62.883,70.066,132.949
2024-05-01 00:42:00,72.014,124.377,196.391
2024-05-01 00:43:00,86.575,105.577,192.152
2024-05-01 00:44:00,35.626,101.623,137.249
2024-05-01 00:45:00,31.058,85.556,116.614
2024-05-01 00:46:00,60.660000000000004,63.173,123.833
2024-05-01 00:47:00,43.495,29.918,73.413
2024-05-01 00:48:00,34.525,34.72,69.245
2024-05-01 00:49:00,80.648,23.982,104.63
2024-05-01 00:50:00,85.991,43.851,129.84199999999998
2024-05-01 00:51:00,55.449,32.292,87.741
2024-05-01 00:52:00,51.672,45.957,97.62899999999999
2024-05-01 00:53:00,63.008,22.182,85.19
2024-05-01 00:54:00,57.704,66.564,124.268
2024-05-01 00:55:00,45.4,75.684,121.084
2024-05-01 00:56:00,104.795,45.609,150.404
2024-05-01 00:57:00,35.617000000000004,35.287,70.904
2024-05-01 00:58:00,29.684,58.531,88.215
2024-05-01 00:59:00,36.862,37.591,74.453
2024-05-01 01:00:00,32.876,59.616,92.49199999999999
2024-05-01 01:01:00,44.223,37.586,81.809
2024-05-01 01:02:00,70.08500000000001,28.288999999999998,98.37400000000001
2024-05-01 01:03:00,62.464999999999996,40.018,102.483
2024-05-01 01:04:00,57.69,137.446,195.136
2024-05-01 01:05:00,49.879,52.606,102.485
2024-05-01 01:06:00,161.516,54.693,216.209
2024-05-01 01:07:00,193.069,89.474,282.543
2024-05-01 01:08:00,137.859,65.054,202.913
2024-05-01 01:09:00,745.922,404.182,1150.104
2024-05-01 01:10:00,102.248,177.957,280.205
2024-05-01 01:11:00,79.814,209.72299999999998,289.537
2024-05-01 01:12:00,87.398,71.412,158.81
2024-05-01 01:13:00,185.078,173.488,358.56600000000003
2024-05-01 01:14:00,271.745,195.062,466.807
2024-05-01 01:15:00,83.15,117.857,201.007
2024-05-01 01:16:00,120.475,129.05,249.525
2024-05-01 01:17:00,226.276,213.969,440.245
2024-05-01 01:18:00,50.336,88.557,138.893
2024-05-01 01:19:00,71.767,152.305,224.072
2024-05-01 01:20:00,126.677,428.79,555.467
2024-05-01 01:21:00,222.612,311.416,534.028
2024-05-01 01:22:00,138.394,89.601,227.995
2024-05-01 01:23:00,40.528,106.652,147.18
2024-05-01 01:24:00,123.922,97.601,221.523
2024-05-01 01:25:00,53.087,122.051,175.138
2024-05-01 01:26:00,65.1,33.395,98.495
2024-05-01 01:27:00,40.815,44.687,85.502
2024-05-01 01:28:00,43.775,24.147000000000002,67.922
2024-05-01 01:29:00,23.286,42.917,66.203
2024-05-01 01:30:00,88.522,51.912,140.434
2024-05-01 01:31:00,59.191,127.037,186.228
2024-05-01 01:32:00,88.232,116.211,204.44299999999998
2024-05-01 01:33:00,31.705,55.689,87.394
2024-05-01 01:34:00,59.782,58.711,118.493
2024-05-01 01:35:00,76.938,40.955,117.893
2024-05-01 01:36:00,39.660000000000004,44.609,84.269
2024-05-01 01:37:00,40.02,32.829,72.849
2024-05-01 01:38:00,18.923000000000002,129.148,148.071
2024-05-01 01:39:00,50.081,42.87,92.951
2024-05-01 01:40:00,105.147,56.446,161.59300000000002
2024-05-01 01:41:00,41.064,20.168,61.232
2024-05-01 01:42:00,36.215,35.967,72.182
2024-05-01 01:43:00,49.311,27.637,76.94800000000001
2024-05-01 01:44:00,110.973,44.733,155.706
2024-05-01 01:45:00,248.614,83.73,332.344
2024-05-01 01:46:00,46.341,115.556,161.897
2024-05-01 01:47:00,44.149,33.82,77.969
2024-05-01 01:48:00,32.821,47.613,80.434
2024-05-01 01:49:00,87.497,61.29,148.787
2024-05-01 01:50:00,68.785,84.919,153.704
2024-05-01 01:51:00,41.702,16.472,58.174
2024-05-01 01:52:00,31.293,30.573,61.866
2024-05-01 01:53:00,56.032000000000004,16.918,72.95
2024-05-01 01:54:00,160.377,46.161,206.538
2024-05-01 01:55:00,28.947,29.395,58.342
2024-05-01 01:56:00,14.178,23.536,37.714
2024-05-01 01:57:00,148.909,74.674,223.583
2024-05-01 01:58:00,38.356,93.385,131.741
2024-05-01 01:59:00,19.072,68.562,87.634
2024-05-01 02:00:00,51.82,60.802,112.622
2024-05-01 02:01:00,65.684,46.397999999999996,112.082
2024-05-01 02:02:00,67.507,43.266999999999996,110.774
2024-05-01 02:03:00,245.001,56.669000000000004,301.67
2024-05-01 02:04:00,80.455,109.653,190.108
2024-05-01 02:05:00,62.646,64.786,127.432
2024-05-01 02:06:00,166.69,368.907,535.597
2024-05-01 02:07:00,58.646,43.454,102.1
2024-05-01 02:08:00,252.406,86.638,339.044
2024-05-01 02:09:00,575.79,235.212,811.002
2024-05-01 02:10:00,331.769,192.367,524.136
2024-05-01 02:11:00,243.153,267.717,510.87
2024-05-01 02:12:00,499.827,217.472,717.299
2024-05-01 02:13:00,418.809,370.113,788.922
2024-05-01 02:14:00,314.584,321.085,635.669
2024-05-01 02:15:00,183.826,356.252,540.078
2024-05-01 02:16:00,89.997,164.143,254.14
2024-05-01 02:17:00,108.195,201.007,309.202
2024-05-01 02:18:00,108.974,89.894,198.868
2024-05-01 02:19:00,109.997,85.708,195.70499999999998
2024-05-01 02:20:00,200.292,87.262,287.554
2024-05-01 02:21:00,138.965,108.557,247.522
2024-05-01 02:22:00,55.363,93.179,148.542
2024-05-01 02:23:00,180.891,134.126,315.017
2024-05-01 02:24:00,68.583,191.558,260.14099999999996
2024-05-01 02:25:00,117.69800000000001,86.741,204.43900000000002
2024-05-01 02:26:00,65.581,106.529,172.11
2024-05-01 02:27:00,92.749,106.087,198.836
2024-05-01 02:28:00,31.278,37.122,68.4
2024-05-01 02:29:00,61.018,46.932,107.95
2024-05-01 02:30:00,79.841,190.894,270.735
2024-05-01 02:31:00,108.248,38.066,146.31400000000002
2024-05-01 02:32:00,32.729,63.298,96.027
2024-05-01 02:33:00,54.091,52.567,106.658
2024-05-01 02:34:00,181.138,55.282000000000004,236.42000000000002
2024-05-01 02:35:00,93.458,88.005,181.463
2024-05-01 02:36:00,68.145,118.555,186.7
2024-05-01 02:37:00,21.488,55.660000000000004,77.148
2024-05-01 02:38:00,61.276,53.319,114.595
2024-05-01 02:39:00,47.639,92.52,140.159
2024-05-01 02:40:00,36.121,34.856,70.977
2024-05-01 02:41:00,85.455,255.11,340.565
2024-05-01 02:42:00,61.412,87.819,149.231
2024-05-01 02:43:00,97.355,50.22,147.575
2024-05-01 02:44:00,83.608,62.824,146.43200000000002
2024-05-01 02:45:00,37.784,48.521,86.305
2024-05-01 02:46:00,20.498,27.875,48.373000000000005
2024-05-01 02:47:00,39.427,25.867,65.294
2024-05-01 02:48:00,46.74,28.321,75.061
2024-05-01 02:49:00,16.641000000000002,30.032,46.673
2024-05-01 02:50:00,32.398,104.449,136.847
2024-05-01 02:51:00,30.226,103.472,133.69799999999998
2024-05-01 02:52:00,43.134,49.386,92.52000000000001
2024-05-01 02:53:00,62.503,32.672,95.175
2024-05-01 02:54:00,25.437,17.198,42.635000000000005
2024-05-01 02:55:00,43.321,41.229,84.55
2024-05-01 02:56:00,24.591,104.363,128.954
2024-05-01 02:57:00,37.946,59.929,97.875
2024-05-01 02:58:00,77.14,19.752,96.892
2024-05-01 02:59:00,15.663,30.539,46.202
2024-05-01 03:00:00,68.721,27.379,96.10000000000001
2024-05-01 03:01:00,15.185,53.979,69.164
2024-05-01 03:02:00,162.228,206.118,368.346
2024-05-01 03:03:00,55.027,70.935,125.962
2024-05-01 03:04:00,46.873,38.233,85.106
2024-05-01 03:05:00,30.579,48.982,79.561
2024-05-01 03:06:00,62.214,112.643,174.857
2024-05-01 03:07:00,91.842,43.106,134.948
2024-05-01 03:08:00,135.34,302.564,437.904
2024-05-01 03:09:00,30.438,28.099,58.537
2024-05-01 03:10:00,17.543,36.756,54.299
2024-05-01 03:11:00,32.215,72.246,104.461
2024-05-01 03:12:00,47.429,57.599,105.02799999999999
2024-05-01 03:13:00,61.616,29.867,91.483
2024-05-01 03:14:00,49.525,24.964,74.489
2024-05-01 03:15:00,87.291,51.781,139.072
2024-05-01 03:16:00,44.535,52.298,96.833
2024-05-01 03:17:00,17.352,14.785,32.137
2024-05-01 03:18:00,51.043,65.713,116.756
2024-05-01 03:19:00,23.495,27.289,50.784000000000006
2024-05-01 03:20:00,15.809000000000001,19.589,35.397999999999996
2024-05-01 03:21:00,33.198,51.14,84.338
2024-05-01 03:22:00,32.858,17.578,50.43599999999999
2024-05-01 03:23:00,14.043000000000001,52.601,66.644
2024-05-01 03:24:00,116.636,65.472,182.108
2024-05-01 03:25:00,56.034,28.535999999999998,84.57
2024-05-01 03:26:00,37.302,20.543,57.845
2024-05-01 03:27:00,29.169,29.429,58.598
2024-05-01 03:28:00,12.653,23.038,35.691
2024-05-01 03:29:00,74.065,22.686,96.751
2024-05-01 03:30:00,56.12,38.929,95.049
2024-05-01 03:31:00,38.943,17.915,56.858
2024-05-01 03:32:00,31.757,98.675,130.432
2024-05-01 03:33:00,23.863,49.516,73.37899999999999
2024-05-01 03:34:00,44.577,31.819,76.396
2024-05-01 03:35:00,7.495,21.726000000000003,29.221000000000004
2024-05-01 03:36:00,64.745,29.756999999999998,94.50200000000001
2024-05-01 03:37:00,17.004,49.488,66.492
2024-05-01 03:38:00,78.093,201.975,280.068
2024-05-01 03:39:00,44.458,82.62,127.078
2024-05-01 03:40:00,83.103,55.576,138.679
2024-05-01 03:41:00,13.849,69.691,83.54
2024-05-01 03:42:00,140.459,211.684,352.14300000000003
2024-05-01 03:43:00,132.828,55.254,188.082
2024-05-01 03:44:00,44.487,26.178,70.665
2024-05-01 03:45:00,102.0,51.22,153.22
2024-05-01 03:46:00,33.468,29.499,62.967
2024-05-01 03:47:00,21.534,17.461000000000002,38.995000000000005
2024-05-01 03:48:00,26.939,16.062,43.001000000000005
2024-05-01 03:49:00,4.517,16.563,21.08
2024-05-01 03:50:00,19.892,23.95,43.842
2024-05-01 03:51:00,9.245,43.423,52.668
2024-05-01 03:52:00,56.711,127.42999999999999,184.141
2024-05-01 03:53:00,62.065,66.244,128.309
2024-05-01 03:54:00,52.012,35.443,87.455
2024-05-01 03:55:00,14.555,30.587,45.141999999999996
2024-05-01 03:56:00,42.344,29.758,72.102
2024-05-01 03:57:00,55.455,86.557,142.012
2024-05-01 03:58:00,30.433,29.499,59.932
2024-05-01 03:59:00,45.898,25.701,71.599